Date,Sales
2022-08-12,86
2022-08-13,126
2022-08-14,126
2022-08-15,77
2022-08-16,92
2022-08-17,89
2022-08-18,94
2022-08-19,91
2022-08-20,103
2022-08-21,126
2022-08-22,67
2022-08-23,67
2022-08-24,91
2022-08-25,93
2022-08-26,96
2022-08-27,121
2022-08-28,116
2022-08-29,79
2022-08-30,75
2022-08-31,69
2022-09-01,71
2022-09-02,70
2022-09-03,102
2022-09-04,121
2022-09-05,73
2022-09-06,94
2022-09-07,69
2022-09-08,65
2022-09-09,83
2022-09-10,104
2022-09-11,106
2022-09-12,88
2022-09-13,79
2022-09-14,91
2022-09-15,86
2022-09-16,88
2022-09-17,103
2022-09-18,114
2022-09-19,81
2022-09-20,94
2022-09-21,81
2022-09-22,90
2022-09-23,84
2022-09-24,106
2022-09-25,124
2022-09-26,71
2022-09-27,66
2022-09-28,67
2022-09-29,81
2022-09-30,69
2022-10-01,113
2022-10-02,120
2022-10-03,83
2022-10-04,93
2022-10-05,83
2022-10-06,68
2022-10-07,68
2022-10-08,124
2022-10-09,118
2022-10-10,89
2022-10-11,71
2022-10-12,67
2022-10-13,67
2022-10-14,85
2022-10-15,126
2022-10-16,98
2022-10-17,87
2022-10-18,78
2022-10-19,92
2022-10-20,72
2022-10-21,89
2022-10-22,100
2022-10-23,119
2022-10-24,77
2022-10-25,90
2022-10-26,93
2022-10-27,83
2022-10-28,72
2022-10-29,120
2022-10-30,101
2022-10-31,86
2022-11-01,75
2022-11-02,79
2022-11-03,95
2022-11-04,84
2022-11-05,119
2022-11-06,119
2022-11-07,74
2022-11-08,82
2022-11-09,101
2022-11-10,100
2022-11-11,79
2022-11-12,119
2022-11-13,133
2022-11-14,76
2022-11-15,93
2022-11-16,101
2022-11-17,100
2022-11-18,77
2022-11-19,122
2022-11-20,130
2022-11-21,76
2022-11-22,92
2022-11-23,93
2022-11-24,80
2022-11-25,93
2022-11-26,112
2022-11-27,104
2022-11-28,81
2022-11-29,80
2022-11-30,91
2022-12-01,92
2022-12-02,85
2022-12-03,125
2022-12-04,142
2022-12-05,109
2022-12-06,109
2022-12-07,102
2022-12-08,107
2022-12-09,114
2022-12-10,124
2022-12-11,117
2022-12-12,91
2022-12-13,112
2022-12-14,100
2022-12-15,110
2022-12-16,100
2022-12-17,139
2022-12-18,134
2022-12-19,112
2022-12-20,101
2022-12-21,86
2022-12-22,85
2022-12-23,100
2022-12-24,144
2022-12-25,126
2022-12-26,89
2022-12-27,89
2022-12-28,111
2022-12-29,107
2022-12-30,93
2022-12-31,123
2023-01-01,127
2023-01-02,113
2023-01-03,110
2023-01-04,110
2023-01-05,97
2023-01-06,114
2023-01-07,148
2023-01-08,146
2023-01-09,118
2023-01-10,95
2023-01-11,118
2023-01-12,114
2023-01-13,105
2023-01-14,141
2023-01-15,132
2023-01-16,98
2023-01-17,100
2023-01-18,102
2023-01-19,114
2023-01-20,124
2023-01-21,127
2023-01-22,140
2023-01-23,124
2023-01-24,119
2023-01-25,97
2023-01-26,119
2023-01-27,123
2023-01-28,142
2023-01-29,138
2023-01-30,112
2023-01-31,96
2023-02-01,123
2023-02-02,104
2023-02-03,117
2023-02-04,160
2023-02-05,140
2023-02-06,105
2023-02-07,102
2023-02-08,105
2023-02-09,102
2023-02-10,115
2023-02-11,152
2023-02-12,147
2023-02-13,121
2023-02-14,125
2023-02-15,109
2023-02-16,108
2023-02-17,104
2023-02-18,148
2023-02-19,132
2023-02-20,117
2023-02-21,113
2023-02-22,128
2023-02-23,120
2023-02-24,123
2023-02-25,154
2023-02-26,153
2023-02-27,115
2023-02-28,131
2023-03-01,110
2023-03-02,110
2023-03-03,117
2023-03-04,153
2023-03-05,156
2023-03-06,112
2023-03-07,131
2023-03-08,131
2023-03-09,106
2023-03-10,125
2023-03-11,164
2023-03-12,135
2023-03-13,132
2023-03-14,119
2023-03-15,105
2023-03-16,109
2023-03-17,132
2023-03-18,163
2023-03-19,150
2023-03-20,123
2023-03-21,108
2023-03-22,107
2023-03-23,121
2023-03-24,121
2023-03-25,146
2023-03-26,162
2023-03-27,134
2023-03-28,133
2023-03-29,118
2023-03-30,125
2023-03-31,110
2023-04-01,134
2023-04-02,159
2023-04-03,110
2023-04-04,106
2023-04-05,125
2023-04-06,130
2023-04-07,118
2023-04-08,145
2023-04-09,152
2023-04-10,104
2023-04-11,129
2023-04-12,102
2023-04-13,121
2023-04-14,130
2023-04-15,152
2023-04-16,154
2023-04-17,102
2023-04-18,104
2023-04-19,119
2023-04-20,126
2023-04-21,111
2023-04-22,153
2023-04-23,157
2023-04-24,104
2023-04-25,109
2023-04-26,115
2023-04-27,125
2023-04-28,119
2023-04-29,146
2023-04-30,153
2023-05-01,117
2023-05-02,96
2023-05-03,121
2023-05-04,104
2023-05-05,96
2023-05-06,150
2023-05-07,141
2023-05-08,102
2023-05-09,95
2023-05-10,103
2023-05-11,105
2023-05-12,116
2023-05-13,140
2023-05-14,131
2023-05-15,123
2023-05-16,104
2023-05-17,117
2023-05-18,120
2023-05-19,97
2023-05-20,142
2023-05-21,149
2023-05-22,118
2023-05-23,107
2023-05-24,122
2023-05-25,120
2023-05-26,101
2023-05-27,149
2023-05-28,128
2023-05-29,107
2023-05-30,114
2023-05-31,95
2023-06-01,92
2023-06-02,98
2023-06-03,130
2023-06-04,128
2023-06-05,96
2023-06-06,103
2023-06-07,107
2023-06-08,99
2023-06-09,112
2023-06-10,116
2023-06-11,116
2023-06-12,107
2023-06-13,106
2023-06-14,103
2023-06-15,109
2023-06-16,110
2023-06-17,144
2023-06-18,143
2023-06-19,106
2023-06-20,110
2023-06-21,110
2023-06-22,106
2023-06-23,101
2023-06-24,134
2023-06-25,124
2023-06-26,90
2023-06-27,99
2023-06-28,106
2023-06-29,95
2023-06-30,112
2023-07-01,109
2023-07-02,105
2023-07-03,82
2023-07-04,95
2023-07-05,102
2023-07-06,86
2023-07-07,86
2023-07-08,109
2023-07-09,111
2023-07-10,78
2023-07-11,80
2023-07-12,87
2023-07-13,94
2023-07-14,104
2023-07-15,119
2023-07-16,107
2023-07-17,97
2023-07-18,82
2023-07-19,94
2023-07-20,90
2023-07-21,87
2023-07-22,122
2023-07-23,132
2023-07-24,84
2023-07-25,104
2023-07-26,93
2023-07-27,91
2023-07-28,98
2023-07-29,123
2023-07-30,132
2023-07-31,100
2023-08-01,89
2023-08-02,92
2023-08-03,71
2023-08-04,92
2023-08-05,117
2023-08-06,126
2023-08-07,89
2023-08-08,75
2023-08-09,78
2023-08-10,87
2023-08-11,67
2023-08-12,122
2023-08-13,122
2023-08-14,67
2023-08-15,81
2023-08-16,68
2023-08-17,96
2023-08-18,88
2023-08-19,112
2023-08-20,121
2023-08-21,74
2023-08-22,79
2023-08-23,87
2023-08-24,67
2023-08-25,82
2023-08-26,125
2023-08-27,103
2023-08-28,71
2023-08-29,88
2023-08-30,95
2023-08-31,89
2023-09-01,67
2023-09-02,106
2023-09-03,120
2023-09-04,80
2023-09-05,83
2023-09-06,69
2023-09-07,86
2023-09-08,89
2023-09-09,123
2023-09-10,108
2023-09-11,92
2023-09-12,69
2023-09-13,79
2023-09-14,81
2023-09-15,94
2023-09-16,108
2023-09-17,124
2023-09-18,84
2023-09-19,69
2023-09-20,76
2023-09-21,80
2023-09-22,90
2023-09-23,120
2023-09-24,110
2023-09-25,85
2023-09-26,71
2023-09-27,68
2023-09-28,65
2023-09-29,94
2023-09-30,124
2023-10-01,101
2023-10-02,89
2023-10-03,92
2023-10-04,76
2023-10-05,88
2023-10-06,71
2023-10-07,100
2023-10-08,98
2023-10-09,86
2023-10-10,76
2023-10-11,92
2023-10-12,85
2023-10-13,92
2023-10-14,97
2023-10-15,120
2023-10-16,71
2023-10-17,79
2023-10-18,70
2023-10-19,82
2023-10-20,90
2023-10-21,112
2023-10-22,119
2023-10-23,68
2023-10-24,83
2023-10-25,94
2023-10-26,93
2023-10-27,86
2023-10-28,120
2023-10-29,108
2023-10-30,84
2023-10-31,69
2023-11-01,101
2023-11-02,74
2023-11-03,74
2023-11-04,133
2023-11-05,122
2023-11-06,84
2023-11-07,78
2023-11-08,85
2023-11-09,76
2023-11-10,74
2023-11-11,104
2023-11-12,111
2023-11-13,83
2023-11-14,84
2023-11-15,85
2023-11-16,102
2023-11-17,86
2023-11-18,115
2023-11-19,117
2023-11-20,75
2023-11-21,102
2023-11-22,92
2023-11-23,91
2023-11-24,76
2023-11-25,126
2023-11-26,120
2023-11-27,99
2023-11-28,81
2023-11-29,102
2023-11-30,99
2023-12-01,94
2023-12-02,140
2023-12-03,144
2023-12-04,86
2023-12-05,103
2023-12-06,93
2023-12-07,91
2023-12-08,88
2023-12-09,140
2023-12-10,135
2023-12-11,102
2023-12-12,97
2023-12-13,95
2023-12-14,113
2023-12-15,108
2023-12-16,118
2023-12-17,139
2023-12-18,105
2023-12-19,113
2023-12-20,109
2023-12-21,88
2023-12-22,94
2023-12-23,119
2023-12-24,123
2023-12-25,108
2023-12-26,87
2023-12-27,101
2023-12-28,87
2023-12-29,100
2023-12-30,118
2023-12-31,132
2024-01-01,111
2024-01-02,101
2024-01-03,118
2024-01-04,117
2024-01-05,124
2024-01-06,129
2024-01-07,136
2024-01-08,111
2024-01-09,117
2024-01-10,107
2024-01-11,117
2024-01-12,119
2024-01-13,127
2024-01-14,133
2024-01-15,124
2024-01-16,111
2024-01-17,111
2024-01-18,124
2024-01-19,114
2024-01-20,140
2024-01-21,149
2024-01-22,116
2024-01-23,107
2024-01-24,121
2024-01-25,113
2024-01-26,111
2024-01-27,128
2024-01-28,136
2024-01-29,123
2024-01-30,103
2024-01-31,113
2024-02-01,113
2024-02-02,110
2024-02-03,138
2024-02-04,159
2024-02-05,115
2024-02-06,121
2024-02-07,120
2024-02-08,127
2024-02-09,116
2024-02-10,147
2024-02-11,152
2024-02-12,106
2024-02-13,104
2024-02-14,113
2024-02-15,126
2024-02-16,121
2024-02-17,158
2024-02-18,152
2024-02-19,105
2024-02-20,122
2024-02-21,124
2024-02-22,117
2024-02-23,126
2024-02-24,138
2024-02-25,144
2024-02-26,122
2024-02-27,111
2024-02-28,127
2024-02-29,108
2024-03-01,118
2024-03-02,160
2024-03-03,139
2024-03-04,107
2024-03-05,127
2024-03-06,133
2024-03-07,115
2024-03-08,115
2024-03-09,152
2024-03-10,149
2024-03-11,116
2024-03-12,113
2024-03-13,114
2024-03-14,130
2024-03-15,116
2024-03-16,151
2024-03-17,163
2024-03-18,110
2024-03-19,111
2024-03-20,118
2024-03-21,117
2024-03-22,112
2024-03-23,144
2024-03-24,143
2024-03-25,122
2024-03-26,131
2024-03-27,130
2024-03-28,106
2024-03-29,109
2024-03-30,163
2024-03-31,139
2024-04-01,107
2024-04-02,120
2024-04-03,109
2024-04-04,117
2024-04-05,114
2024-04-06,132
2024-04-07,153
2024-04-08,121
2024-04-09,118
2024-04-10,108
2024-04-11,126
2024-04-12,114
2024-04-13,135
2024-04-14,135
2024-04-15,107
2024-04-16,129
2024-04-17,120
2024-04-18,130
2024-04-19,113
2024-04-20,153
2024-04-21,138
2024-04-22,128
2024-04-23,111
2024-04-24,127
2024-04-25,120
2024-04-26,108
2024-04-27,161
2024-04-28,134
2024-04-29,114
2024-04-30,114
2024-05-01,112
2024-05-02,122
2024-05-03,124
2024-05-04,150
2024-05-05,144
2024-05-06,122
2024-05-07,102
2024-05-08,123
2024-05-09,103
2024-05-10,101
2024-05-11,125
2024-05-12,127
2024-05-13,107
2024-05-14,122
2024-05-15,124
2024-05-16,119
2024-05-17,122
2024-05-18,141
2024-05-19,149
2024-05-20,118
2024-05-21,95
2024-05-22,100
2024-05-23,115
2024-05-24,100
2024-05-25,150
2024-05-26,136
2024-05-27,107
2024-05-28,107
2024-05-29,123
2024-05-30,109
2024-05-31,115
2024-06-01,130
2024-06-02,136
2024-06-03,105
2024-06-04,95
2024-06-05,112
2024-06-06,89
2024-06-07,88
2024-06-08,117
2024-06-09,133
2024-06-10,104
2024-06-11,109
2024-06-12,102
2024-06-13,99
2024-06-14,93
2024-06-15,131
2024-06-16,128
2024-06-17,99
2024-06-18,85
2024-06-19,105
2024-06-20,106
2024-06-21,106
2024-06-22,117
2024-06-23,130
2024-06-24,107
2024-06-25,109
2024-06-26,95
2024-06-27,96
2024-06-28,94
2024-06-29,130
2024-06-30,122
2024-07-01,80
2024-07-02,86
2024-07-03,98
2024-07-04,102
2024-07-05,95
2024-07-06,112
2024-07-07,130
2024-07-08,102
2024-07-09,78
2024-07-10,100
2024-07-11,82
2024-07-12,100
2024-07-13,132
2024-07-14,122
2024-07-15,102
2024-07-16,102
2024-07-17,79
2024-07-18,83
2024-07-19,78
2024-07-20,131
2024-07-21,126
2024-07-22,91
2024-07-23,83
2024-07-24,75
2024-07-25,95
2024-07-26,94
2024-07-27,117
2024-07-28,132
2024-07-29,90
2024-07-30,103
2024-07-31,87
2024-08-01,80
2024-08-02,69
2024-08-03,125
2024-08-04,102
2024-08-05,84
2024-08-06,85
2024-08-07,71
2024-08-08,81
2024-08-09,91
2024-08-10,98
2024-08-11,106
2024-08-12,90
2024-08-13,96
2024-08-14,84
2024-08-15,93
2024-08-16,79
2024-08-17,101
2024-08-18,119
2024-08-19,90
2024-08-20,67
2024-08-21,88
2024-08-22,67
2024-08-23,84
2024-08-24,111
2024-08-25,113
2024-08-26,77
2024-08-27,87
2024-08-28,92
2024-08-29,91
2024-08-30,88
2024-08-31,123
2024-09-01,121
2024-09-02,81
2024-09-03,77
2024-09-04,65
2024-09-05,66
2024-09-06,73
2024-09-07,97
2024-09-08,95
2024-09-09,85
2024-09-10,80
2024-09-11,87
2024-09-12,70
2024-09-13,92
2024-09-14,111
2024-09-15,99
2024-09-16,69
2024-09-17,70
2024-09-18,67
2024-09-19,85
2024-09-20,87
2024-09-21,99
2024-09-22,115
2024-09-23,69
2024-09-24,74
2024-09-25,74
2024-09-26,83
2024-09-27,81
2024-09-28,115
2024-09-29,108
2024-09-30,73
2024-10-01,80
2024-10-02,67
2024-10-03,85
2024-10-04,79
2024-10-05,109
2024-10-06,100
2024-10-07,96
2024-10-08,67
2024-10-09,83
2024-10-10,74
2024-10-11,68
2024-10-12,124
2024-10-13,104
2024-10-14,73
2024-10-15,92
2024-10-16,92
2024-10-17,68
2024-10-18,88
2024-10-19,118
2024-10-20,99
2024-10-21,93
2024-10-22,84
2024-10-23,78
2024-10-24,67
2024-10-25,88
2024-10-26,108
2024-10-27,101
2024-10-28,96
2024-10-29,96
2024-10-30,93
2024-10-31,91
2024-11-01,90
2024-11-02,119
2024-11-03,118
2024-11-04,96
2024-11-05,88
2024-11-06,78
2024-11-07,94
2024-11-08,87
2024-11-09,105
2024-11-10,114
2024-11-11,92
2024-11-12,80
2024-11-13,79
2024-11-14,101
2024-11-15,75
2024-11-16,109
2024-11-17,121
2024-11-18,75
2024-11-19,91
2024-11-20,103
2024-11-21,88
2024-11-22,100
2024-11-23,122
2024-11-24,105
2024-11-25,93
2024-11-26,98
2024-11-27,79
2024-11-28,74
2024-11-29,97
2024-11-30,118
2024-12-01,142
2024-12-02,114
2024-12-03,107
2024-12-04,94
2024-12-05,103
2024-12-06,101
2024-12-07,119
2024-12-08,143
2024-12-09,88
2024-12-10,94
2024-12-11,108
2024-12-12,101
2024-12-13,94
2024-12-14,131
2024-12-15,142
2024-12-16,104
2024-12-17,108
2024-12-18,89
2024-12-19,86
2024-12-20,90
2024-12-21,135
2024-12-22,116
2024-12-23,97
2024-12-24,114
2024-12-25,95
2024-12-26,95
2024-12-27,100
2024-12-28,125
2024-12-29,133
2024-12-30,99
2024-12-31,109
